Kabupaten / Kota,Angka Harapan Lama Sekolah (Tahun)
PROVINSI JAWA TENGAH,"12,85"
Kabupaten Cilacap,"12,67"
Kabupaten Banyumas,"13,26"
Kabupaten Purbalingga,"12,02"
Kabupaten Banjarnegara,"11,82"
Kabupaten Kebumen,"13,37"
Kabupaten Purworejo,"13,53"
Kabupaten Wonosobo,"11,80"
Kabupaten Magelang,"12,61"
Kabupaten Boyolali,"12,66"
Kabupaten Klaten,"13,41"
Kabupaten Sukoharjo,"13,91"
Kabupaten Wonogiri,"12,52"
Kabupaten Karanganyar,"13,71"
Kabupaten Sragen,"12,92"
Kabupaten Grobogan,"12,46"
Kabupaten Blora,"12,51"
Kabupaten Rembang,"12,15"
Kabupaten Pati,"12,96"
Kabupaten Kudus,"13,26"
Kabupaten Jepara,"12,85"
Kabupaten Demak,"13,34"
Kabupaten Semarang,"13,05"
Kabupaten Temanggung,"12,61"
Kabupaten Kendal,"12,99"
Kabupaten Batang,"12,15"
Kabupaten Pekalongan,"12,44"
Kabupaten Pemalang,"12,01"
Kabupaten Tegal,"12,92"
Kabupaten Brebes,"12,44"
Kota Magelang,"14,40"
Kota Surakarta,"14,90"
Kota Salatiga,"15,44"
Kota Semarang,"15,55"
Kota Pekalongan,"12,87"
Kota Tegal,"13,18"
