PASANGAN CALON,ANDIKA M PERKASA - HENDRAR PRIHADI,AHMAD LUTHFI - TAJ YASIN
CILACAP,"382,530 ","567,625 "
BANYUMAS,"403,232 ","497,170 "
PURBALINGGA,"213,032 ","327,578 "
BANJARNEGARA,"169,142 ","328,446 "
KEBUMEN,"315,348 ","395,359 "
PURWOREJO,"200,646 ","219,798 "
WONOSOBO,"176,819 ","275,134 "
MAGELANG,"278,587 ","479,285 "
BOYOLALI,"273,208 ","399,825 "
KLATEN,"322,086 ","407,658 "
SUKOHARJO,"214,876 ","252,840 "
WONOGIRI,"251,259 ","310,068 "
KARANGANYAR,"257,504 ","292,510 "
SRAGEN,"234,539 ","332,748 "
GROBOGAN,"339,433 ","438,713 "
BIORA,"160,239 ","286,057 "
REMBANG,"116,173 ","279,357 "
PATI,"270,866 ","480,895 "
KUDUS,"155,652 ","369,764 "
JEPARA,"140,814 ","410,421 "
DEMAK,"221,608 ","392,409 "
SEMARANG,"254,705 ","307,873 "
TEMANGGUNG,"187,557 ","299,783 "
KENDAL,"226,770 ","320,025 "
BATANG,"180,034 ","285,037 "
PEKALONGAN,"193,084 ","314,672 "
PEMALANG,"228,101 ","371,857 "
TEGAL,"254,094 ","530,609 "
BREBES,"304,346 ","516,749 "
KOTA MAGELANG,"39,425 ","32,940 "
KOTA SURAKARTA,"161,008 ","143,738 "
KOTA SALATIGA,"54,831 ","55,093 "
KOTA SEMARANG,"569,186 ","293,342 "
KOTA PEKALONGAN,"60,873 ","96,046 "
KOTA TEGAL,"58,477 ","78,767 "
