Kecamatan,Kelurahan,Jumlah Penduduk
Laweyan,Pajang,25904
Laweyan,Laweyan,2109
Laweyan,Bumi,6352
Laweyan,Panularan,9696
Laweyan,Penumping,3937
Laweyan,Sriwedari,3911
Laweyan,Purwosari,10309
Laweyan,Sondakan,12395
Laweyan,Kerten,9538
Laweyan,Jajar,9471
Laweyan,Karangasem,10618
Serengan,Joyotakan,8142
Serengan,Danukusuman,10172
Serengan,Serengan,10974
Serengan,Tipes,12378
Serengan,Kratonan,5475
Serengan,Jayengan,3937
Serengan,Kemlayan,3761
Pasar Kliwon,Joyosuran,10737
Pasar Kliwon,Semanggi,23499
Pasar Kliwon,Pasarkliwon,5597
Pasar Kliwon,Gajahan,3909
Pasar Kliwon,Baluwarti,6545
Pasar Kliwon,Kampungbaru,3011
Pasar Kliwon,Kedunglumbu,5478
Pasar Kliwon,Sangkrah,12756
Pasar Kliwon,Kauman,2662
Pasar Kliwon,Mojo,14535
Jebres,Kepatihan Kulon,2551
Jebres,Kepatihan Wetan,2600
Jebres,Sudiroprajan,3799
Jebres,Gandekan,9123
Jebres,Sewu,7186
Jebres,Pucangsawit,14514
Jebres,Jagalan,12224
Jebres,Purwodiningratan,4975
Jebres,Tegalharjo,5086
Jebres,Jebres,33915
Jebres,Mojosongo,55411
Banjarsari,Kadipiro,25067
Banjarsari,Nusukan,31443
Banjarsari,Gilingan,20846
Banjarsari,Setabelan,4118
Banjarsari,Kestalan,2862
Banjarsari,Keprabon,2990
Banjarsari,Timuran,2877
Banjarsari,Ketelan,3493
Banjarsari,Punggawan,4327
Banjarsari,Mangkubumen,9879
Banjarsari,Manahan,11942
Banjarsari,Sumber,19024
Banjarsari,Banyuanyar,15794
Banjarsari,Banjarsari,20586
Banjarsari,Joglo,13979
